Marca,Modelo,Capacidade (Ah),Corrente continua (A),Corrente pico (A),C-rate continuo,C-rate pico,Peso (kg),Ciclos,Tensao nominal (V),Tensao maxima (V),Tensao minima (V)
XDLE,CBA71173204-280Ah,280,280,840,1C,3C,5.50,"1200 ciclos com fade <=5% (25 graus C, 300+-30kgf, SOC 20-50%)",3.2,3.65,"2.5 (T>0C) / 2.0 (T<=0C)"
CALB,L173F230,230,230,"690 (3C/10s, pulso curto, <50C) / 400 (1.74C/3min, pulso longo)",1C,3C,4.17,">=4000 (1C/1C, ate 80% da capacidade nominal)",3.2,"3.65 (padrao) / 3.8 (absoluto max)",2.5
Great Power,IFR40135-20Ah,20,10,60,0.5C,"3.0C (max, nao recomendado para uso continuo/ciclico)",0.37,">=4000 @25C (0.5C/0.5C,80%); >=2000 @25C (1C/1C,80%); >=1500 @45C (0.5C/0.5C,80%)",3.2,3.65,2.5
EVE,LF280K,280,280,"sem pico distinto no datasheet (max continuo = 1C = 280A / 1P = 896W)",1C,"1C (sem pulso documentado)",5.49,"8000 @25C (70% SOH); 3000 @45C (70% SOH)",3.2,"3.65 (padrao) / 3.8 (absoluto max)","2.5 (T>0C) / 2.0 (T<=0C)"
